题目,朝代,作者,内容,来源,词牌
"青莲池上客 继重阳韵","元","马钰","马风忽尔风风遇。自然得、昭然著。协气横横和气煦。汞铅交结，虎龙蟠住。玉马驸。相曳云霞步。根源寂寂灵源聚。元神显，天神护。道可成兮丹可顾。青莲池上客，来同赴。金马驻。直入蓬莱路。","Werneror",""
"清心镜 兴平郭姑来投全真堂下修行","元","马钰","郭姑姑，男子志。割拚尘清，畏其生死。远本夫、缝合阴门，自古今无二。慎其终，如其始。自有坚贤，暗中提尔。处无为、清净彻头，同麻姑居止。","Werneror",""
"清心镜 道友问修行","元","马钰","云朋询，霞友答。性命事大，自当救拔。免轮回、决在今生，可细搜细刷。青莲开，白莲发。莲花帐内，姹婴仰观俯察。向蓬莱、路上前行，舞六么十八。","Werneror",""
"爇心香 本名行香子夫妇分离","元","马钰","你是何人。我是何人。与伊家、元本无亲。都缘媒妁，遂结婚姻。便落痴崖，贪财产，只愁贫。你也迷尘。我也迷尘。管家缘、火里烧身。牵伊情意，役我心神。幸遇风仙，分头去，各修真。","Werneror",""
"爇心香 岐阳镇张同监问修行","元","马钰","休问因缘，各做修行。古人言、两句堪听。人人有分，个个圆明。但事情疏，心情净，达长生。元气盈盈，大法成成。□初观、日月停停。光辉莹莹，龙虎平平。觉本真真，常寂寂，永宁宁。","Werneror",""
"石门晓行","元","方澜","风高木叶脱，从此晓寒新。积雨见初日，远山如故人。烟村一苇渡，野寺数家邻。独念行藏异，沙鸥未我驯。","Werneror",""
"李宫人琵琶引九首 其二","元","王士熙","龙柱雕犀锦面妆，春风一抹綵丝长。新声不用黄金拨，玉指萧萧弄晚凉。","Werneror",""
"李宫人琵琶引九首 其一","元","王士熙","琼花春岛百花香，太液池边夜色凉。一曲《六么》天上谱，君王曾进紫霞觞。","Werneror",""
"李宫人琵琶引九首 其三","元","王士熙","鸾舆五月幸龙冈，宣唤新声促晓妆。拨断冰弦秋满眼，塞天云碧草茫茫。","Werneror",""
"李宫人琵琶引九首 其六","元","王士熙","越罗蜀锦旧衣裳，赢得旁人识赐香。莫对琵琶思往事，声声弹出断人肠。","Werneror",""
"老君吟 八百行","元","王吉昌","灵源无点污，常应常清净。阴阳已罢交，子母同宫庆。冲虚葆真，一廓圆明辉心镜。头头照破归寂灭，妙用弘法，海变通无竟。具真行。慈悲形道本，惨怛心无争。普施咸利物，执谦德为权柄。圆成八百无漏果，顿超云步稳，脱凡归圣。","Werneror",""
"十二月过尧民歌为别情","元","王实甫","自别后遥山隐隐，更那堪远水粼粼。见杨柳飞绵滚滚，对桃花醉脸醺醺。透内阁香风阵阵，掩重门暮雨纷纷。怕黄昏忽地又黄昏，不销魂怎能不销魂。新啼痕压旧啼痕，断肠人忆断肠人。今春，香肌瘦几分，搂带宽三寸。","Werneror",""
"望月婆罗门引","元","王恽","去年元夕，飘零书剑大梁城。春风九市花灯。尚忆东楼行乐，谈笑故人情。对一尊芳酒，满意歌声。今年可能。人与境、两竛竮。寂寞黄昏陌巷，戎鼓断人行。梅花归梦，正一笑、柴门稚子迎。庭树鹊、何苦频惊。","Werneror",""
"望月婆罗门引 中秋夜","元","王恽","柳边层榭，倚兰人共月孤高。乱云脱坏崩涛。一片广寒宫殿，桂影数秋毫。尽掀髯老子，露湿宫袍。人生此朝。能几度、可怜宵。况对清尊皓齿，舞袖织腰。碧空如洗，拚一醉、河倾转斗杓。今夕乐、归梦临皋。","Werneror",""
"望月婆罗门引 为吹头管张解愁赋","元","王恽","秋怀索寞，悠悠心事野鸥边。几回崔九堂前。照眼故家风调，人物尚依然。按清商一曲，倾动华筵。新声巧翻。道且莫、诧贞元。爱煞珠绳银管，满意清圆。风花无梦，待回施、春光与少年。杜陵老、凄断邻船。","Werneror",""
"望月婆罗门引 春雪后看山","元","王恽","太行晴霁，孤墉高处揖清寒。云闲万髻千鬟。底事春风面目，一变玉巑岏。淡夕阳平远，野鸟飞还。青云莫攀。吾高兴、在东山。偃蹇孤松丘壑，不碍春悭。背阴桃李，正藉得、春光亦强颜。长剑铗、且莫轻弹。","Werneror",""
"瓦盆歌","元","王哲","你敲著得恁响声大。无祥瑞，没灾祸。元谁知得那。外唇有口能发课。内虚有腹成因果。贵贱贤愚，细思量、人人放一个。这风狂悟斯，不肯争人我。除烦恼，灭心火。日日随缘过。逍遥自在任行坐。功成行满携云朵。带壳升腾，恁时节，方知不打破。","Werneror",""
"三月晦游道场山宿清公房与成父同行二首 其二","元","邓文原","涧石萦纡紫竹丛，晴云吹落水晶宫。夜寒身宿群峰顶，花尽春归万木中。傥买山田营破屋，时过僧寺驾孤篷。只应渺渺轩前路，杖履长陪鹤发翁。","Werneror",""
"三月晦游道场山宿清公房与成父同行二首 其一","元","邓文原","绝顶轩窗纳晚晡，下方灯火听钟鱼。天连震泽涵元气，地涌浮图切太虚。凉立松风观石溜，晚寻樵径扣僧庐。孤亭山麓荒苔积，犹想幽人夜读书。","Werneror",""
"洞玄歌","元","长筌子","野堂花老。槛外幽香度。绿影沉沉映窗户。任从他、日转西郊，且闲看、云生南浦。见隐隐遥岭接天青，又石齿分泉，迸珠飞雨。丹丘咫尺，几个人回顾。鼷鼠穿窬岂足数。假直饶、绮陌长游，争似向、烟岚深处。枕万壑云霞乐平生，便不胜红尘，点染缁素。","Werneror",""
"行农洛西题王居仁山堂春晓","元","卢挚","幽人持所见，旷然捐世故。岂薄轩冕荣，正有林壑趣。兴居惟自适，早晏常暇豫。草芳泽气春，鸟鸣岚光曙。岩花抗韶容，溪云澹吾虑。图史敦宿好，朋游非外慕。招邀具鸡黍，笑言在农务。我来忝符竹，行田课耕助。抚卷怀清风，长吟山郭暮。","Werneror",""
"【双调】大德歌 其一","元","关汉卿","粉墙低，景凄凄，正是那西厢月上时。会得琴中意，我是个香闺里钟子期。好教人暗想张君瑞，敢则是爱月夜眠迟。","Werneror",""
"【双调】大德歌 其二","元","关汉卿","绿杨堤，画船儿，正撞着一帆风赶上水。冯魁吃的醺醺醉，怎想着金山寺壁上诗。醒来不见多姝丽，冷清清空载月明归。","Werneror",""
"【双调】大德歌 其三","元","关汉卿","郑元和，受寂寞，道是你无钱怎奈何？哥哥家缘破，谁着你摇铜铃唱挽歌。因打亚仙门前过，恰便是司马泪痕多。","Werneror",""
"【双调】大德歌 其四","元","关汉卿","谢家村，赏芳春，疑怪他桃花冷笑人。着谁传芳信，强题诗也断魂。花阴下等待无人问，则听得黄犬吠柴门。","Werneror",""
"【双调】大德歌 其五","元","关汉卿","雪粉华，舞梨花，再不见烟村四五家。密洒堪图画，看疏林噪晚鸦。黄芦掩映清江下，斜缆着钓鱼艖。","Werneror",""
"【双调】大德歌 其六","元","关汉卿","吹一个，弹一个，唱新行大德歌。快活休张罗，想人生能几何？十分淡薄随缘过，得磨陀处且磨陀。","Werneror",""
"【双调】大德歌 冬","元","关汉卿","雪纷纷，掩重门，不由人不断魂，瘦损江梅韵。那里是清江江上村？香闺里冷落谁瞅问？好一个憔悴的凭阑人！","Werneror",""
"【双调】大德歌 春","元","关汉卿","子规啼，不如归，道是春归人未归。几日添憔悴，虚飘飘柳絮飞。一春鱼雁无消息，则见双燕斗衔泥。","Werneror",""
"【双调】大德歌 秋","元","关汉卿","风飘飘，雨潇潇，便做陈抟也睡不着。懊恼伤怀抱，扑簌簌泪点抛。秋蝉儿噪罢寒蛩儿叫，淅零零细雨打芭蕉。","Werneror",""
"【双调】大德歌 夏","元","关汉卿","俏冤家，在天涯，偏那里绿杨堪系马？困坐南窗下，数对清风想念他。蛾眉淡了教谁画？瘦岩岩羞带石榴花。","Werneror",""
"夜过吴江宿于圣寿中复中行方丈","元","成廷圭","深夜扣禅扃，天寒月在庭。鸟惊栖后树，僧掩读残经。蔓草风吹白，枇杷雪洗青。对床听法语，心孔愈惺惺。","Werneror",""
"荻港早行","元","许有壬","水国宜秋晚，羁愁感岁华。清霜醉枫叶，淡月隐芦花。涨落高低路，川平远近沙。炊烟青不断，山崦有人家。","Werneror",""
"导引词","元","邢具瞻","五年一狩，仙仗到人间。问稼穑艰难。苍生洗眼秋光里，今日见天颜。金瓜玉斧临香火。驰道六龙闲。歌谣到处皆相似，天子寿南山。","Werneror",""
"雨后晚行二首 其二","元","何中","栖鸟黄昏后，归牛苍莽间。水明疑有月，烟澹欲无山。幽谷元非隐，高人自喜閒。徘徊不能去，莎碧耿荒湾。","Werneror",""
"晓发辞夫矶时李泂溉之友先行","元","何中","荻暗鸡鸣村，平皋下残月。参差邻舫语，橹声带潮发。露华望中白，蓬阴散秋发。沙鸟知曙鸣，海云上空灭。念我前行友，青山已飞越。迟尔及相携，无嗟赏心歇。","Werneror",""
"望月婆罗门引 送徐容斋","元","张伯淳","容斋平日，一身用舍系安危。儿童走卒皆知。谁料鲈鱼江山，忽忆故山薇。任西风别酒，月正圆时。性斋有诗。道扫舍，待吾归。二老相招如此，公论畴依。人生行乐，对佳水佳山何必归。公笑曰、归去来兮。","Werneror",""
"望月婆罗门引 和李廷弼韵就庆初度","元","张野","井梧叶下，西风正喜洗尘颜。犹然火甑之间。谁酿一天霖雨，爽气满河关。甚忧民老子，顿觉心宽。风亭月轩。更何用、种琅玕。自有平生节操，未老投闲。群鸟声里，又惊觉、黄粱梦一番。沉醉后、处处麇山。","Werneror",""
"闻归集贤远引奉简一章","元","张翥","故旧相看逐逝波，思归无路欲如何。将军每叹檀公策，朝士徒悲穆氏歌。南海明珠来贡少，中原健马出征多。先生自说将高举，不遣冥鸿到罻罗。","Werneror",""
"望月婆罗门引 史尚书生朝","元","李庭","太平有象，老人星、喜照滹阳。前衔曾近文昌。寿乐今年余庆，新到五花堂。看鸡鸣问寝，鳞次称觞。白眉最良。八州督，汉侯王。院院琼林玉树，画戟清香。一椿五桂，更休说、燕山窦十郎。谈麈上，白日羲皇。","Werneror",""
"梅梢月 歌女","元","杨弘道","春到人间，嫩黄染长条，暖烟晴昼。未按舞腰，学画妆眉，二八女儿纤瘦。绛桃秾李携佳伴，陈步障、青红如绣。过微雨，年年好在，禁烟时候。娇困如酣卯酒。应恼杀、翩翻燕朋莺友。绿水灞桥，斜日章台，雪絮乱飘襟袖。劝伊休管别离事，但赢取、青青依旧。再相见，清阴渐成数亩。","Werneror",""
"双调 大司命","元","阿鲁威","令飘风冻雨清尘，开阊阖天门，假道天津。千乘回翔，龙旗冉冉，鸾驾辚辚。结桂椒兮乘云并迎，问人间兮寿夭莫凭。除却灵均，兰佩荷衣，谁制谁纫？","Werneror",""
